AirPollutionAttributableDeaths,,,,,,,,,,,
ParentLocationCode,ParentLocation,Location,Period,Dim1,Dim1ValueCode,Dim2,FactValueNumeric,FactValueNumericLow,FactValueNumericHigh,Value,DateModified
AMR,Americas,Belize,2016,Female,FMLE,Ischaemic heart disease,15.11,11.53,18.52,15.11 [11.53 – 18.52],7/6/18 0:00
AMR,Americas,Guyana,2016,Male,MLE,Chronic obstructive pulmonary disease,15.27,7.83,24.64,15.27 [7.83 – 24.64],7/6/18 0:00
AFR,Africa,Mozambique,2016,Female,FMLE,"Trachea, bronchus, lung cancers",15.3,8.21,23.8,15.3 [8.21 – 23.8],7/6/18 0:00
EUR,Europe,Estonia,2016,Both sexes,BTSX,Lower respiratory infections,15.36,1.93,39.92,15.36 [1.93 – 39.92],7/6/18 0:00
AMR,Americas,Trinidad and Tobago,2016,Male,MLE,"Trachea, bronchus, lung cancers",15.48,8.49,23.7,15.48 [8.49 – 23.7],7/6/18 0:00
AFR,Africa,Senegal,2016,Male,MLE,"Trachea, bronchus, lung cancers",15.48,9.42,22.19,15.48 [9.42 – 22.19],7/6/18 0:00
WPR,Western Pacific,Kiribati,2016,Male,MLE,Total,15.56,12.65,18.99,15.56 [12.65 – 18.99],7/6/18 0:00
AFR,Africa,South Sudan,2016,Male,MLE,"Trachea, bronchus, lung cancers",15.75,9.75,22.3,15.75 [9.75 – 22.3],7/6/18 0:00
AMR,Americas,Belize,2016,Both sexes,BTSX,Stroke,15.87,11.83,21.51,15.87 [11.83 – 21.51],7/6/18 0:00
AMR,Americas,Paraguay,2016,Male,MLE,Stroke,150.3,106.1,223.6,150.3 [106.1 – 223.6],7/6/18 0:00
WPR,Western Pacific,Australia,2016,Female,FMLE,"Trachea, bronchus, lung cancers",150.6,61.34,285,150.6 [61.34 – 285],7/6/18 0:00
EUR,Europe,Switzerland,2016,Female,FMLE,Chronic obstructive pulmonary disease,151,52.7,278.3,151 [52.7 – 278.3],7/6/18 0:00
WPR,Western Pacific,China,2016,Female,FMLE,Stroke,151771,119611,190705,"151,771 [119,611 – 190,705]",7/6/18 0:00
SEAR,South-East Asia,India,2016,Male,MLE,Chronic obstructive pulmonary disease,151886,99595,211162,"151,886 [99,595 – 211,162]",7/6/18 0:00
EUR,Europe,Georgia,2016,Female,FMLE,Chronic obstructive pulmonary disease,152.6,78.5,245.1,152.6 [78.5 – 245.1],7/6/18 0:00
AFR,Africa,Ethiopia,2016,Female,FMLE,"Trachea, bronchus, lung cancers",152.8,91.08,221.6,152.8 [91.08 – 221.6],7/6/18 0:00
AFR,Africa,Burkina Faso,2016,Male,MLE,Chronic obstructive pulmonary disease,153,86.85,227.5,153 [86.85 – 227.5],7/6/18 0:00
AFR,Africa,Burundi,2016,Male,MLE,Chronic obstructive pulmonary disease,153.7,85.76,233.6,153.7 [85.76 – 233.6],7/6/18 0:00
EUR,Europe,Cyprus,2016,Female,FMLE,Total,154,115.9,202,154 [115.9 – 202],7/6/18 0:00
EMR,Eastern Mediterranean,Jordan,2016,Both sexes,BTSX,Chronic obstructive pulmonary disease,154,86.03,234,154 [86.03 – 234],7/6/18 0:00
EUR,Europe,Bulgaria,2016,Male,MLE,Lower respiratory infections,154.1,81.78,238.7,154.1 [81.78 – 238.7],7/6/18 0:00
EUR,Europe,The former Yugoslav Republic of Macedonia,2016,Both sexes,BTSX,Chronic obstructive pulmonary disease,154.1,85.02,236.3,154.1 [85.02 – 236.3],7/6/18 0:00
EUR,Europe,Latvia,2016,Male,MLE,Stroke,154.9,103.4,253.1,154.9 [103.4 – 253.1],7/6/18 0:00
EUR,Europe,Uzbekistan,2016,Female,FMLE,Chronic obstructive pulmonary disease,155.3,83.95,242.6,155.3 [83.95 – 242.6],7/6/18 0:00
EMR,Eastern Mediterranean,Iraq,2016,Female,FMLE,"Trachea, bronchus, lung cancers",155.9,103.5,208.5,155.9 [103.5 – 208.5],7/6/18 0:00
AMR,Americas,Canada,2016,Male,MLE,Lower respiratory infections,156,18.23,419.1,156 [18.23 – 419.1],7/6/18 0:00
AFR,Africa,Namibia,2016,Male,MLE,Lower respiratory infections,156.8,90.42,230,156.8 [90.42 – 230],7/6/18 0:00
EUR,Europe,Belgium,2016,Female,FMLE,"Trachea, bronchus, lung cancers",157,76.61,261.5,157 [76.61 – 261.5],7/6/18 0:00
EUR,Europe,Turkmenistan,2016,Male,MLE,Lower respiratory infections,157.1,84.01,242.8,157.1 [84.01 – 242.8],7/6/18 0:00
AFR,Africa,South Sudan,2016,Male,MLE,Chronic obstructive pulmonary disease,157.5,90.67,232,157.5 [90.67 – 232],7/6/18 0:00
WPR,Western Pacific,Australia,2016,Female,FMLE,Lower respiratory infections,157.7,40.62,346.7,157.7 [40.62 – 346.7],7/6/18 0:00
AMR,Americas,Haiti,2016,Male,MLE,Chronic obstructive pulmonary disease,158.3,68.67,269.6,158.3 [68.67 – 269.6],7/6/18 0:00
AMR,Americas,Paraguay,2016,Female,FMLE,Stroke,158.5,109.3,248.9,158.5 [109.3 – 248.9],7/6/18 0:00
AMR,Americas,Guyana,2016,Female,FMLE,Total,158.6,136.9,182.9,158.6 [136.9 – 182.9],7/6/18 0:00
AMR,Americas,Paraguay,2016,Both sexes,BTSX,Lower respiratory infections,158.8,52.61,308.1,158.8 [52.61 – 308.1],7/6/18 0:00
AMR,Americas,Barbados,2016,Both sexes,BTSX,Total,159.2,128.9,193.2,159.2 [128.9 – 193.2],7/6/18 0:00
EMR,Eastern Mediterranean,Kuwait,2016,Female,FMLE,Lower respiratory infections,159.4,125.7,194.2,159.4 [125.7 – 194.2],7/6/18 0:00
AFR,Africa,Democratic Republic of the Congo,2016,Female,FMLE,Total,16180,13243,19277,"16,180 [13,243 – 19,277]",7/6/18 0:00
EUR,Europe,France,2016,Both sexes,BTSX,Total,16294,12258,21617,"16,294 [12,258 – 21,617]",7/6/18 0:00
EUR,Europe,Poland,2016,Both sexes,BTSX,Ischaemic heart disease,16482,11707,21284,"16,482 [11,707 – 21,284]",7/6/18 0:00
EMR,Eastern Mediterranean,Iran (Islamic Republic of),2016,Both sexes,BTSX,Ischaemic heart disease,16523,13055,20126,"16,523 [13,055 – 20,126]",7/6/18 0:00
EUR,Europe,Romania,2016,Both sexes,BTSX,Total,16644,13070,21135,"16,644 [13,070 – 21,135]",7/6/18 0:00
AFR,Africa,Ethiopia,2016,Both sexes,BTSX,Lower respiratory infections,16781,11770,22138,"16,781 [11,770 – 22,138]",7/6/18 0:00
EMR,Eastern Mediterranean,Pakistan,2016,Both sexes,BTSX,Chronic obstructive pulmonary disease,16796,10197,23894,"16,796 [10,197 – 23,894]",7/6/18 0:00
EUR,Europe,Russian Federation,2016,Female,FMLE,Stroke,16940,9198,32675,"16,940 [9,198 – 32,675]",7/6/18 0:00
AMR,Americas,Honduras,2016,Female,FMLE,"Trachea, bronchus, lung cancers",16.29,8.76,25.31,16.29 [8.76 – 25.31],7/6/18 0:00
AFR,Africa,Zambia,2016,Both sexes,BTSX,"Trachea, bronchus, lung cancers",16.31,9.07,24.74,16.31 [9.07 – 24.74],7/6/18 0:00
SEAR,South-East Asia,Maldives,2016,Female,FMLE,Total,16.32,11.75,21.85,16.32 [11.75 – 21.85],7/6/18 0:00
WPR,Western Pacific,Mongolia,2016,Female,FMLE,"Trachea, bronchus, lung cancers",16.45,10.17,23.41,16.45 [10.17 – 23.41],7/6/18 0:00
AFR,Africa,United Republic of Tanzania,2016,Male,MLE,"Trachea, bronchus, lung cancers",16.46,9.37,24.61,16.46 [9.37 – 24.61],7/6/18 0:00
EUR,Europe,Latvia,2016,Female,FMLE,"Trachea, bronchus, lung cancers",16.47,8.15,27.25,16.47 [8.15 – 27.25],7/6/18 0:00
SEAR,South-East Asia,Timor-Leste,2016,Both sexes,BTSX,"Trachea, bronchus, lung cancers",16.5,8.8,25.82,16.5 [8.8 – 25.82],7/6/18 0:00
AFR,Africa,Mali,2016,Male,MLE,"Trachea, bronchus, lung cancers",16.64,9.91,24.19,16.64 [9.91 – 24.19],7/6/18 0:00
AFR,Africa,Chad,2016,Both sexes,BTSX,"Trachea, bronchus, lung cancers",16.67,10.79,22.78,16.67 [10.79 – 22.78],7/6/18 0:00
AFR,Africa,Eswatini,2016,Female,FMLE,Chronic obstructive pulmonary disease,16.75,7.54,27.99,16.75 [7.54 – 27.99],7/6/18 0:00
EMR,Eastern Mediterranean,United Arab Emirates,2016,Female,FMLE,Chronic obstructive pulmonary disease,16.92,9.67,25.04,16.92 [9.67 – 25.04],7/6/18 0:00
WPR,Western Pacific,Fiji,2016,Both sexes,BTSX,Chronic obstructive pulmonary disease,16.93,6.28,30.69,16.93 [6.28 – 30.69],7/6/18 0:00
AMR,Americas,Jamaica,2016,Female,FMLE,Chronic obstructive pulmonary disease,16.93,6.78,29.65,16.93 [6.78 – 29.65],7/6/18 0:00
EUR,Europe,The former Yugoslav Republic of Macedonia,2016,Male,MLE,Lower respiratory infections,16.96,11.49,22.92,16.96 [11.49 – 22.92],7/6/18 0:00
AFR,Africa,Burkina Faso,2016,Male,MLE,"Trachea, bronchus, lung cancers",16.99,10.36,24.34,16.99 [10.36 – 24.34],7/6/18 0:00
AMR,Americas,Dominican Republic,2016,Both sexes,BTSX,Chronic obstructive pulmonary disease,160,64.87,277.8,160 [64.87 – 277.8],7/6/18 0:00
EUR,Europe,Norway,2016,Both sexes,BTSX,Stroke,160.8,57.53,464.1,160.8 [57.53 – 464.1],7/6/18 0:00
AFR,Africa,Zimbabwe,2016,Male,MLE,Chronic obstructive pulmonary disease,160.8,79.18,262.6,160.8 [79.18 – 262.6],7/6/18 0:00
AMR,Americas,Venezuela (Bolivarian Republic of),2016,Female,FMLE,"Trachea, bronchus, lung cancers",160.9,82.62,259.7,160.9 [82.62 – 259.7],7/6/18 0:00
EUR,Europe,Serbia,2016,Male,MLE,Lower respiratory infections,161,98.9,229.4,161 [98.9 – 229.4],7/6/18 0:00
SEAR,South-East Asia,Timor-Leste,2016,Male,MLE,Total,161.4,132.3,194.9,161.4 [132.3 – 194.9],7/6/18 0:00
EMR,Eastern Mediterranean,Libya,2016,Both sexes,BTSX,"Trachea, bronchus, lung cancers",161.7,103.3,223.1,161.7 [103.3 – 223.1],7/6/18 0:00
AFR,Africa,Zimbabwe,2016,Female,FMLE,Chronic obstructive pulmonary disease,162.1,79.84,264.7,162.1 [79.84 – 264.7],7/6/18 0:00
EUR,Europe,Israel,2016,Male,MLE,"Trachea, bronchus, lung cancers",162.6,86.88,254.3,162.6 [86.88 – 254.3],7/6/18 0:00
AFR,Africa,Gabon,2016,Male,MLE,Lower respiratory infections,164.1,119.5,210.5,164.1 [119.5 – 210.5],7/6/18 0:00
AFR,Africa,Liberia,2016,Female,FMLE,Ischaemic heart disease,164.5,127.7,202,164.5 [127.7 – 202],7/6/18 0:00
AMR,Americas,Nicaragua,2016,Both sexes,BTSX,Lower respiratory infections,164.8,80.51,266.3,164.8 [80.51 – 266.3],7/6/18 0:00
EUR,Europe,Republic of Moldova,2016,Both sexes,BTSX,Lower respiratory infections,164.9,77.75,269.4,164.9 [77.75 – 269.4],7/6/18 0:00
EUR,Europe,Austria,2016,Male,MLE,Stroke,165.1,91.3,322.4,165.1 [91.3 – 322.4],7/6/18 0:00
AMR,Americas,Chile,2016,Female,FMLE,"Trachea, bronchus, lung cancers",165.2,89.57,255.5,165.2 [89.57 – 255.5],7/6/18 0:00
EUR,Europe,Czechia,2016,Female,FMLE,"Trachea, bronchus, lung cancers",165.3,85.2,266.2,165.3 [85.2 – 266.2],7/6/18 0:00
AFR,Africa,Lesotho,2016,Both sexes,BTSX,Chronic obstructive pulmonary disease,166.3,91.12,257.4,166.3 [91.12 – 257.4],7/6/18 0:00
WPR,Western Pacific,Fiji,2016,Male,MLE,Total,166.5,135.4,199.7,166.5 [135.4 – 199.7],7/6/18 0:00
AFR,Africa,Equatorial Guinea,2016,Female,FMLE,Lower respiratory infections,167.1,128.5,207.8,167.1 [128.5 – 207.8],7/6/18 0:00
EMR,Eastern Mediterranean,Syrian Arab Republic,2016,Female,FMLE,Chronic obstructive pulmonary disease,167.1,96.8,244.6,167.1 [96.8 – 244.6],7/6/18 0:00
EMR,Eastern Mediterranean,Lebanon,2016,Both sexes,BTSX,"Trachea, bronchus, lung cancers",167.4,98.45,244.7,167.4 [98.45 – 244.7],7/6/18 0:00
AMR,Americas,Costa Rica,2016,Both sexes,BTSX,Stroke,167.8,105.6,289,167.8 [105.6 – 289],7/6/18 0:00
AFR,Africa,Benin,2016,Male,MLE,Chronic obstructive pulmonary disease,167.8,94.67,251.2,167.8 [94.67 – 251.2],7/6/18 0:00
AMR,Americas,Guatemala,2016,Female,FMLE,Chronic obstructive pulmonary disease,167.9,87.99,266.4,167.9 [87.99 – 266.4],7/6/18 0:00
EMR,Eastern Mediterranean,Jordan,2016,Male,MLE,Lower respiratory infections,168,117.3,222.5,168 [117.3 – 222.5],7/6/18 0:00
EUR,Europe,Slovakia,2016,Male,MLE,Lower respiratory infections,168.7,82.88,272,168.7 [82.88 – 272],7/6/18 0:00
EMR,Eastern Mediterranean,Kuwait,2016,Both sexes,BTSX,Stroke,169,142.7,195.8,169 [142.7 – 195.8],7/6/18 0:00
SEAR,South-East Asia,Bhutan,2016,Both sexes,BTSX,Ischaemic heart disease,169,144.7,192,169 [144.7 – 192],7/6/18 0:00
AFR,Africa,Guinea,2016,Male,MLE,Chronic obstructive pulmonary disease,169,87,271.2,169 [87 – 271.2],7/6/18 0:00
AFR,Africa,Mozambique,2016,Male,MLE,Chronic obstructive pulmonary disease,169.2,84.22,275.3,169.2 [84.22 – 275.3],7/6/18 0:00
EUR,Europe,Bosnia and Herzegovina,2016,Male,MLE,Chronic obstructive pulmonary disease,169.7,92.49,263.9,169.7 [92.49 – 263.9],7/6/18 0:00
AFR,Africa,Eswatini,2016,Male,MLE,Total,169.8,125.5,221.8,169.8 [125.5 – 221.8],7/6/18 0:00
EMR,Eastern Mediterranean,Djibouti,2016,Male,MLE,Chronic obstructive pulmonary disease,17,9.78,25.05,17 [9.78 – 25.05],7/6/18 0:00
EMR,Eastern Mediterranean,Afghanistan,2016,Both sexes,BTSX,Total,17143,15433,19031,"17,143 [15,433 – 19,031]",7/6/18 0:00
EUR,Europe,Turkey,2016,Both sexes,BTSX,Ischaemic heart disease,17331,13882,20926,"17,331 [13,882 – 20,926]",7/6/18 0:00
EMR,Eastern Mediterranean,Egypt,2016,Female,FMLE,Ischaemic heart disease,17468,14653,20498,"17,468 [14,653 – 20,498]",7/6/18 0:00
SEAR,South-East Asia,Indonesia,2016,Male,MLE,Stroke,17568,13209,22470,"17,568 [13,209 – 22,470]",7/6/18 0:00
AFR,Africa,Ethiopia,2016,Male,MLE,Total,17970,14881,21212,"17,970 [14,881 – 21,212]",7/6/18 0:00
EUR,Europe,Germany,2016,Female,FMLE,Total,17974,12562,24446,"17,974 [12,562 – 24,446]",7/6/18 0:00
EUR,Europe,Estonia,2016,Male,MLE,"Trachea, bronchus, lung cancers",17.04,5.13,34.53,17.04 [5.13 – 34.53],7/6/18 0:00
AFR,Africa,Niger,2016,Both sexes,BTSX,"Trachea, bronchus, lung cancers",17.11,11.6,22.54,17.11 [11.6 – 22.54],7/6/18 0:00
AFR,Africa,Cabo Verde,2016,Male,MLE,Stroke,17.11,12.88,23.01,17.11 [12.88 – 23.01],7/6/18 0:00
AFR,Africa,Comoros,2016,Female,FMLE,Stroke,17.17,13.43,21.83,17.17 [13.43 – 21.83],7/6/18 0:00
WPR,Western Pacific,Vanuatu,2016,Male,MLE,Ischaemic heart disease,17.23,13.55,21.12,17.23 [13.55 – 21.12],7/6/18 0:00
WPR,Western Pacific,Solomon Islands,2016,Female,FMLE,Ischaemic heart disease,17.4,13.07,21.52,17.4 [13.07 – 21.52],7/6/18 0:00
AFR,Africa,Comoros,2016,Male,MLE,Stroke,17.55,13.72,21.71,17.55 [13.72 – 21.71],7/6/18 0:00
AFR,Africa,Côte d’Ivoire,2016,Male,MLE,"Trachea, bronchus, lung cancers",17.57,9.78,26.62,17.57 [9.78 – 26.62],7/6/18 0:00
WPR,Western Pacific,Solomon Islands,2016,Both sexes,BTSX,Lower respiratory infections,17.65,5.5,34.93,17.65 [5.5 – 34.93],7/6/18 0:00
AFR,Africa,Mauritius,2016,Male,MLE,Lower respiratory infections,17.71,7.26,31.22,17.71 [7.26 – 31.22],7/6/18 0:00
EUR,Europe,Finland,2016,Female,FMLE,"Trachea, bronchus, lung cancers",17.73,3.51,42.21,17.73 [3.51 – 42.21],7/6/18 0:00
AFR,Africa,Rwanda,2016,Both sexes,BTSX,"Trachea, bronchus, lung cancers",17.81,10.82,25.56,17.81 [10.82 – 25.56],7/6/18 0:00
AMR,Americas,Barbados,2016,Male,MLE,Stroke,17.97,12.85,25.46,17.97 [12.85 – 25.46],7/6/18 0:00
AFR,Africa,Seychelles,2016,Both sexes,BTSX,Ischaemic heart disease,17.97,14.25,21.38,17.97 [14.25 – 21.38],7/6/18 0:00
EUR,Europe,Portugal,2016,Both sexes,BTSX,"Trachea, bronchus, lung cancers",170.1,65.61,327.5,170.1 [65.61 – 327.5],7/6/18 0:00
SEAR,South-East Asia,Bhutan,2016,Female,FMLE,Total,170.4,149.8,194.8,170.4 [149.8 – 194.8],7/6/18 0:00
AMR,Americas,Dominican Republic,2016,Male,MLE,Lower respiratory infections,171.2,68.28,305,171.2 [68.28 – 305],7/6/18 0:00
AFR,Africa,Congo,2016,Female,FMLE,Stroke,171.4,138.2,210.1,171.4 [138.2 – 210.1],7/6/18 0:00
EUR,Europe,Switzerland,2016,Female,FMLE,Stroke,172.2,63,441.1,172.2 [63 – 441.1],7/6/18 0:00
AFR,Africa,Gambia,2016,Female,FMLE,Lower respiratory infections,172.9,117.6,232.6,172.9 [117.6 – 232.6],7/6/18 0:00
AFR,Africa,Guinea,2016,Female,FMLE,Chronic obstructive pulmonary disease,172.9,88.98,277.4,172.9 [88.98 – 277.4],7/6/18 0:00
EMR,Eastern Mediterranean,Somalia,2016,Male,MLE,Chronic obstructive pulmonary disease,172.9,95.68,264.6,172.9 [95.68 – 264.6],7/6/18 0:00
AFR,Africa,Guinea-Bissau,2016,Female,FMLE,Lower respiratory infections,173,108.3,243.3,173 [108.3 – 243.3],7/6/18 0:00
AMR,Americas,Nicaragua,2016,Both sexes,BTSX,Stroke,173.3,130.3,242.1,173.3 [130.3 – 242.1],7/6/18 0:00
EUR,Europe,Sweden,2016,Female,FMLE,Stroke,174.1,45.51,584.7,174.1 [45.51 – 584.7],7/6/18 0:00
EUR,Europe,Kyrgyzstan,2016,Both sexes,BTSX,Lower respiratory infections,174.2,100.7,260.9,174.2 [100.7 – 260.9],7/6/18 0:00
WPR,Western Pacific,China,2016,Male,MLE,Stroke,175203,141395,215531,"175,203 [141,395 – 215,531]",7/6/18 0:00
AFR,Africa,Guinea-Bissau,2016,Both sexes,BTSX,Ischaemic heart disease,175.1,141.3,209,175.1 [141.3 – 209],7/6/18 0:00
EUR,Europe,Montenegro,2016,Both sexes,BTSX,Stroke,175.2,108.2,293.6,175.2 [108.2 – 293.6],7/6/18 0:00
EUR,Europe,Croatia,2016,Male,MLE,Chronic obstructive pulmonary disease,176.5,82.21,294.2,176.5 [82.21 – 294.2],7/6/18 0:00
EMR,Eastern Mediterranean,Kuwait,2016,Female,FMLE,Ischaemic heart disease,176.6,150.8,202.2,176.6 [150.8 – 202.2],7/6/18 0:00
AFR,Africa,Liberia,2016,Both sexes,BTSX,Stroke,176.7,135.1,228.4,176.7 [135.1 – 228.4],7/6/18 0:00
EUR,Europe,Switzerland,2016,Male,MLE,Chronic obstructive pulmonary disease,177,61.75,326.1,177 [61.75 – 326.1],7/6/18 0:00
WPR,Western Pacific,Papua New Guinea,2016,Female,FMLE,Lower respiratory infections,177.1,57.54,346.7,177.1 [57.54 – 346.7],7/6/18 0:00
EUR,Europe,Israel,2016,Male,MLE,Chronic obstructive pulmonary disease,177.2,86.53,290.3,177.2 [86.53 – 290.3],7/6/18 0:00
EMR,Eastern Mediterranean,Libya,2016,Female,FMLE,Stroke,177.4,140.9,224,177.4 [140.9 – 224],7/6/18 0:00
WPR,Western Pacific,China,2016,Male,MLE,Ischaemic heart disease,178167,142762,213023,"178,167 [142,762 – 213,023]",7/6/18 0:00
AFR,Africa,Liberia,2016,Male,MLE,Ischaemic heart disease,178.1,141.4,213.9,178.1 [141.4 – 213.9],7/6/18 0:00
EUR,Europe,Portugal,2016,Female,FMLE,Chronic obstructive pulmonary disease,178.4,50.26,354.1,178.4 [50.26 – 354.1],7/6/18 0:00
AMR,Americas,Uruguay,2016,Both sexes,BTSX,Chronic obstructive pulmonary disease,179,54.99,341.7,179 [54.99 – 341.7],7/6/18 0:00
WPR,Western Pacific,China,2016,Female,FMLE,Ischaemic heart disease,179574,140572,220570,"179,574 [140,572 – 220,570]",7/6/18 0:00
AFR,Africa,Eswatini,2016,Female,FMLE,Total,179.1,138.3,226.3,179.1 [138.3 – 226.3],7/6/18 0:00
AMR,Americas,El Salvador,2016,Both sexes,BTSX,Stroke,179.2,135.1,246.2,179.2 [135.1 – 246.2],7/6/18 0:00
AMR,Americas,Peru,2016,Female,FMLE,"Trachea, bronchus, lung cancers",179.9,100.7,272,179.9 [100.7 – 272],7/6/18 0:00
EMR,Eastern Mediterranean,Libya,2016,Male,MLE,Lower respiratory infections,179.9,138.4,224,179.9 [138.4 – 224],7/6/18 0:00
EUR,Europe,Switzerland,2016,Both sexes,BTSX,Lower respiratory infections,179.9,52.89,367.5,179.9 [52.89 – 367.5],7/6/18 0:00
AMR,Americas,United States of America,2016,Female,FMLE,Ischaemic heart disease,18028,10776,26533,"18,028 [10,776 – 26,533]",7/6/18 0:00
AMR,Americas,Bahamas,2016,Female,FMLE,Ischaemic heart disease,18.04,13.07,22.98,18.04 [13.07 – 22.98],7/6/18 0:00
AMR,Americas,Uruguay,2016,Female,FMLE,"Trachea, bronchus, lung cancers",18.11,7.42,32.94,18.11 [7.42 – 32.94],7/6/18 0:00
AMR,Americas,Saint Lucia,2016,Both sexes,BTSX,Stroke,18.21,12.07,28.63,18.21 [12.07 – 28.63],7/6/18 0:00
AFR,Africa,Angola,2016,Male,MLE,"Trachea, bronchus, lung cancers",18.34,10.58,27.15,18.34 [10.58 – 27.15],7/6/18 0:00
WPR,Western Pacific,New Zealand,2016,Female,FMLE,"Trachea, bronchus, lung cancers",18.37,4.07,42.87,18.37 [4.07 – 42.87],7/6/18 0:00
EUR,Europe,Lithuania,2016,Female,FMLE,"Trachea, bronchus, lung cancers",18.39,8.72,31.13,18.39 [8.72 – 31.13],7/6/18 0:00
AFR,Africa,Madagascar,2016,Female,FMLE,"Trachea, bronchus, lung cancers",18.53,10.06,28.61,18.53 [10.06 – 28.61],7/6/18 0:00
AFR,Africa,Equatorial Guinea,2016,Male,MLE,Chronic obstructive pulmonary disease,18.85,11.19,27.12,18.85 [11.19 – 27.12],7/6/18 0:00
AMR,Americas,Suriname,2016,Male,MLE,Lower respiratory infections,18.9,11.01,27.54,18.9 [11.01 – 27.54],7/6/18 0:00
WPR,Western Pacific,Cambodia,2016,Both sexes,BTSX,"Trachea, bronchus, lung cancers",180.2,100.9,272.2,180.2 [100.9 – 272.2],7/6/18 0:00
EMR,Eastern Mediterranean,Qatar,2016,Male,MLE,Ischaemic heart disease,180.3,155.6,206.2,180.3 [155.6 – 206.2],7/6/18 0:00
EUR,Europe,Armenia,2016,Male,MLE,"Trachea, bronchus, lung cancers",180.8,106.7,263.9,180.8 [106.7 – 263.9],7/6/18 0:00
AMR,Americas,Guatemala,2016,Male,MLE,Chronic obstructive pulmonary disease,180.8,94.75,286.9,180.8 [94.75 – 286.9],7/6/18 0:00
EUR,Europe,Lithuania,2016,Male,MLE,Stroke,181.1,115.4,309.4,181.1 [115.4 – 309.4],7/6/18 0:00
EUR,Europe,Hungary,2016,Both sexes,BTSX,Lower respiratory infections,181.7,81.56,302.8,181.7 [81.56 – 302.8],7/6/18 0:00
EMR,Eastern Mediterranean,Afghanistan,2016,Male,MLE,"Trachea, bronchus, lung cancers",181.8,118.7,246.6,181.8 [118.7 – 246.6],7/6/18 0:00
EUR,Europe,Tajikistan,2016,Female,FMLE,Chronic obstructive pulmonary disease,181.9,104.5,268.5,181.9 [104.5 – 268.5],7/6/18 0:00
AFR,Africa,Gabon,2016,Both sexes,BTSX,Ischaemic heart disease,182.4,144,220.5,182.4 [144 – 220.5],7/6/18 0:00
EMR,Eastern Mediterranean,Djibouti,2016,Female,FMLE,Total,182.5,157.6,209.9,182.5 [157.6 – 209.9],7/6/18 0:00
EMR,Eastern Mediterranean,Oman,2016,Female,FMLE,Ischaemic heart disease,183.6,146.9,221.5,183.6 [146.9 – 221.5],7/6/18 0:00
AMR,Americas,Peru,2016,Male,MLE,"Trachea, bronchus, lung cancers",184.5,103.3,278.9,184.5 [103.3 – 278.9],7/6/18 0:00
AFR,Africa,Burkina Faso,2016,Female,FMLE,Chronic obstructive pulmonary disease,184.9,105,274.9,184.9 [105 – 274.9],7/6/18 0:00
EUR,Europe,Georgia,2016,Male,MLE,Chronic obstructive pulmonary disease,185.8,95.61,298.5,185.8 [95.61 – 298.5],7/6/18 0:00
AMR,Americas,Guyana,2016,Both sexes,BTSX,Ischaemic heart disease,186.6,152.7,219.8,186.6 [152.7 – 219.8],7/6/18 0:00
EUR,Europe,Malta,2016,Both sexes,BTSX,Total,186.9,146.2,235.8,186.9 [146.2 – 235.8],7/6/18 0:00
AMR,Americas,Canada,2016,Female,FMLE,Lower respiratory infections,186.9,21.85,502.3,186.9 [21.85 – 502.3],7/6/18 0:00
EUR,Europe,Ireland,2016,Both sexes,BTSX,Chronic obstructive pulmonary disease,186.9,53.44,363.4,186.9 [53.44 – 363.4],7/6/18 0:00
AFR,Africa,Benin,2016,Female,FMLE,Chronic obstructive pulmonary disease,187.4,105.8,280.6,187.4 [105.8 – 280.6],7/6/18 0:00
AMR,Americas,Panama,2016,Male,MLE,Ischaemic heart disease,187.5,139.4,231.1,187.5 [139.4 – 231.1],7/6/18 0:00
EMR,Eastern Mediterranean,Djibouti,2016,Both sexes,BTSX,Lower respiratory infections,187.5,139.7,238.5,187.5 [139.7 – 238.5],7/6/18 0:00
AFR,Africa,Botswana,2016,Both sexes,BTSX,Lower respiratory infections,187.6,108.2,275,187.6 [108.2 – 275],7/6/18 0:00
AFR,Africa,Malawi,2016,Male,MLE,Stroke,187.9,145.7,241.1,187.9 [145.7 – 241.1],7/6/18 0:00
AMR,Americas,El Salvador,2016,Both sexes,BTSX,Chronic obstructive pulmonary disease,188,99.98,296.2,188 [99.98 – 296.2],7/6/18 0:00
EUR,Europe,Austria,2016,Male,MLE,"Trachea, bronchus, lung cancers",188.1,90.8,315,188.1 [90.8 – 315],7/6/18 0:00
AFR,Africa,Eritrea,2016,Both sexes,BTSX,Chronic obstructive pulmonary disease,188.4,109.5,274.3,188.4 [109.5 – 274.3],7/6/18 0:00
AFR,Africa,Eritrea,2016,Male,MLE,Stroke,188.4,157.2,223.4,188.4 [157.2 – 223.4],7/6/18 0:00
AMR,Americas,Guyana,2016,Male,MLE,Total,188.6,164,215.6,188.6 [164 – 215.6],7/6/18 0:00
WPR,Western Pacific,Papua New Guinea,2016,Both sexes,BTSX,Chronic obstructive pulmonary disease,188.9,70.87,340.8,188.9 [70.87 – 340.8],7/6/18 0:00
AMR,Americas,Uruguay,2016,Female,FMLE,Ischaemic heart disease,189.1,112,278,189.1 [112 – 278],7/6/18 0:00
WPR,Western Pacific,Fiji,2016,Both sexes,BTSX,Ischaemic heart disease,189.3,149.3,229.7,189.3 [149.3 – 229.7],7/6/18 0:00
